"","id","nX","N","degree","err_red","d","metric","cluster","time","mse_aces","bias_aces","mse_dea","bias_dea","time_dea"
"1",1,2,100,1,0.01,1,"mae",3,0.559999999999491,0.002,0.02,0.002,-0.036,0.0300000000006548
"2",2,2,100,1,0.01,2,"mae",3,0.559999999999491,0.001,0.011,0.003,-0.045,0.0300000000006548
"3",3,2,100,1,0.01,1,"mae",3,0.420000000000073,0.012,0.059,0.017,-0.082,0.0300000000006548
"4",4,2,100,1,0.01,1,"mae",3,0.530000000000655,0.002,0.015,0.003,-0.039,0.0499999999992724
"5",5,2,100,1,0.01,1,"mae",3,0.570000000001528,0.002,0.015,0.003,-0.039,0.0300000000006548
"6",6,2,100,1,0.01,1,"mae",2,0.469999999999345,0.007,0.064,0.01,-0.093,0.0300000000006548
"7",7,2,100,1,0.01,1,"mae",3,0.479999999999563,0.004,0.043,0.005,-0.064,0.0300000000006548
"8",8,2,100,1,0.01,1,"mae",3,0.75,0.001,0.029,0.004,-0.048,0.0300000000006548
"9",9,2,100,1,0.01,1,"mae",3,0.719999999999345,0.001,0.008,0.002,-0.034,0.0300000000006548
"10",10,2,100,1,0.01,1,"mae",3,0.56000000000131,0.002,0.038,0.004,-0.049,0.0300000000006548
"11",11,2,100,1,0.01,1,"mae",2,0.610000000000582,0.001,0.025,0.001,-0.032,0.0400000000008731
"12",12,2,100,1,0.01,1,"mae",3,0.5,0.006,0.054,0.007,-0.061,0.0399999999990541
"13",13,2,100,1,0.01,1,"mae",3,0.639999999999418,0.003,0.014,0.006,-0.035,0.0500000000010914
"14",14,2,100,1,0.01,1,"mae",3,0.489999999999782,0.001,0.023,0.002,-0.032,0.0499999999992724
"15",15,2,100,1,0.01,1,"mae",2,0.909999999999854,0.002,0.016,0.003,-0.04,0.0100000000002183
"16",16,2,100,1,0.01,1,"mae",3,0.559999999999491,0.002,0.034,0.002,-0.038,0.0300000000006548
"17",17,2,100,1,0.01,1,"mae",3,0.6200000000008,0.003,0.025,0.004,-0.048,0.0100000000002183
"18",18,2,100,1,0.01,1,"mae",2,0.649999999999636,0.003,0.048,0.004,-0.053,0.0300000000006548
"19",19,2,100,1,0.01,1,"mae",3,0.420000000000073,0.011,0.049,0.011,-0.062,0.0300000000006548
"20",20,2,100,1,0.01,1,"mae",3,0.450000000000728,0.002,0.013,0.002,-0.027,0.0300000000006548
"21",21,2,100,1,0.01,1,"mae",3,0.579999999999927,0.002,0.021,0.002,-0.038,0.0300000000006548
"22",22,2,100,1,0.01,1,"mae",3,0.720000000001164,0.001,0.019,0.002,-0.046,0.0200000000004366
"23",23,2,100,1,0.01,1,"mae",2,0.600000000000364,0.001,0.02,0.011,-0.047,0.0300000000006548
"24",24,2,100,1,0.01,2,"mae",3,0.540000000000873,0.001,0.011,0.002,-0.032,0.0300000000006548
