"","id","nX","N","degree","err_red","d","metric","cluster","time","mse_aces","bias_aces","mse_dea","bias_dea","time_dea"
"1",1,1,100,1,0.01,1,"mae",3,0.829999999999984,0.002,0.01,0.003,-0.039,0.0300000000000011
"2",2,1,100,1,0.01,1,"mae",3,0.600000000000023,0.001,0.009,0.001,-0.03,0.0300000000000011
"3",3,1,100,1,0.01,1,"mae",3,0.759999999999991,0.002,-0.008,0.002,-0.032,0.0300000000000296
"4",4,1,100,1,0.01,1,"mae",3,0.439999999999941,0.008,0.063,0.009,-0.073,0.0300000000000296
"5",5,1,100,1,0.01,1,"mae",2,0.659999999999968,0.001,0.022,0.002,-0.036,0.0300000000000864
"6",6,1,100,1,0.01,1,"mae",3,0.620000000000005,0.001,0.024,0.001,-0.035,0.0199999999999818
"7",7,1,100,1,0.01,1,"mae",2,0.6099999999999,0.004,0.034,0.005,-0.044,0.0299999999999727
"8",8,1,100,1,0.01,1,"mae",1,1.11000000000013,0.004,0.021,0.004,-0.047,0.0199999999999818
"9",9,1,100,1,0.01,1,"mae",3,0.830000000000155,0.002,0.002,0.002,-0.031,0.0299999999999727
"10",10,1,100,1,0.01,2,"mae",3,0.669999999999845,0.003,0.042,0.005,-0.054,0.0299999999999727
"11",11,1,100,1,0.01,1,"mae",2,0.990000000000009,0.003,0.023,0.004,-0.051,0.040000000000191
"12",12,1,100,1,0.01,2,"mae",2,0.720000000000027,0.001,0.016,0.001,-0.027,0.0299999999999727
"13",13,1,100,1,0.01,1,"mae",3,0.6099999999999,0.004,0.045,0.014,-0.056,0.0299999999999727
"14",14,1,100,1,0.01,1,"mae",3,0.799999999999955,0.002,0.027,0.003,-0.04,0.0299999999999727
"15",15,1,100,1,0.01,2,"mae",3,0.659999999999854,0.004,0.031,0.008,-0.053,0.0299999999999727
"16",16,1,100,1,0.01,1,"mae",3,0.559999999999945,0.002,0.028,0.006,-0.048,0.0300000000002001
"17",17,1,100,1,0.01,1,"mae",3,0.639999999999873,0.001,0.017,0.003,-0.048,0.0500000000001819
"18",18,1,100,1,0.01,1,"mae",1,0.940000000000055,0.004,0.047,0.004,-0.06,0.0299999999997453
"19",19,1,100,1,0.01,1,"mae",3,0.539999999999964,0.005,0.026,0.006,-0.053,0.0299999999997453
"20",20,1,100,1,0.01,1,"mae",3,1.08000000000038,0.007,0.039,0.009,-0.063,0.0399999999999636
"21",21,1,100,1,0.01,1,"mae",3,0.680000000000291,0.006,0.063,0.007,-0.072,0.0399999999999636
"22",22,1,100,1,0.01,1,"mae",2,1.26000000000022,0.005,0.034,0.007,-0.057,0.0399999999999636
"23",23,1,100,1,0.01,1,"mae",3,0.769999999999982,0.009,0.04,0.01,-0.053,0.0300000000002001
"24",24,1,100,1,0.01,1,"mae",3,0.539999999999964,0.003,0.027,0.004,-0.045,0.0199999999999818
"25",25,1,100,1,0.01,1,"mae",1,0.889999999999873,0.006,0.014,0.005,-0.052,0.0300000000002001
"26",26,1,100,1,0.01,1,"mae",2,0.7800000000002,0.002,-0.01,0.005,-0.046,0.0300000000002001
"27",27,1,100,1,0.01,2,"mae",3,0.779999999999745,0.003,0.028,0.003,-0.045,0.0399999999999636
"28",28,1,100,1,0.01,2,"mae",3,0.449999999999818,0.006,0.012,0.004,-0.046,0.0199999999999818
"29",29,1,100,1,0.01,1,"mae",3,0.859999999999673,0.003,0.027,0.007,-0.048,0.0199999999999818
"30",30,1,100,1,0.01,1,"mae",2,0.779999999999745,0.004,0.038,0.007,-0.055,0.0299999999997453
"31",31,1,100,1,0.01,1,"mae",3,0.529999999999745,0.007,0.015,0.019,-0.071,0.0399999999999636
"32",32,1,100,1,0.01,2,"mae",3,0.530000000000655,0.002,0.018,0.002,-0.036,0.0299999999997453
"33",33,1,100,1,0.01,1,"mae",2,1.17000000000007,0.002,0.002,0.005,-0.053,0.0399999999999636
"34",34,1,100,1,0.01,1,"mae",3,0.619999999999891,0.002,0.021,0.004,-0.049,0.0299999999997453
"35",35,1,100,1,0.01,1,"mae",3,0.649999999999636,0.002,0.029,0.004,-0.054,0.00999999999930878
"36",36,1,100,1,0.01,1,"mae",3,0.859999999999673,0.003,0.009,0.005,-0.038,0.0399999999999636
"37",37,1,100,1,0.01,1,"mae",2,0.800000000000182,0.011,0.053,0.012,-0.065,0.0299999999997453
"38",38,1,100,1,0.01,2,"mae",3,0.779999999999745,0.002,0.025,0.004,-0.044,0.0299999999997453
"39",39,1,100,1,0.01,1,"mae",3,0.789999999999964,0.002,0.023,0.003,-0.046,0.0299999999997453
"40",40,1,100,1,0.01,1,"mae",2,0.940000000000509,0.007,0.053,0.008,-0.062,0.0299999999997453
"41",41,1,100,1,0.01,1,"mae",3,0.669999999999163,0.009,0.047,0.011,-0.061,0.0399999999999636
"42",42,1,100,1,0.01,1,"mae",2,0.729999999999563,0.002,0.01,0.005,-0.048,0.0299999999997453
"43",43,1,100,1,0.01,1,"mae",3,1.11999999999989,0.002,0.02,0.002,-0.037,0.0300000000006548
"44",44,1,100,1,0.01,1,"mae",3,0.699999999999818,0.011,0.042,0.015,-0.053,0.0299999999997453
"45",45,1,100,1,0.01,1,"mae",3,0.5600000000004,0.002,0.031,0.003,-0.045,0.0299999999997453
"46",46,1,100,1,0.01,1,"mae",1,1.16000000000076,0.005,0.049,0.006,-0.057,0.0399999999999636
"47",47,1,100,1,0.01,1,"mae",3,0.920000000000073,0.005,0.055,0.006,-0.065,0.0399999999999636
"48",48,1,100,1,0.01,2,"mae",3,0.710000000000036,0.008,0.022,0.009,-0.059,0.0299999999997453
"49",49,1,100,1,0.01,1,"mae",3,0.700000000000728,0.005,0.02,0.005,-0.045,0.0300000000006548
"50",50,1,100,1,0.01,1,"mae",3,0.630000000000109,0.001,0.004,0.002,-0.027,0.0399999999999636
