"","id","nX","N","degree","err_red","d","metric","cluster","time","mse_aces","bias_aces","mse_dea","bias_dea","time_dea"
"1",1,2,100,1,0.01,1,"mae",3,4.22000000000003,0.016,-0.035,0.015,-0.073,0.0400000000000205
"2",2,2,100,1,0.01,1,"mae",2,3.02999999999997,0.004,0.013,0.021,-0.093,0.0500000000000114
"3",3,2,100,1,0.01,1,"mae",3,3.72999999999996,0.013,-0.026,0.016,-0.082,0.0300000000000296
"4",4,2,100,1,0.01,2,"mae",3,2.54000000000002,0.01,-0.039,0.011,-0.077,0.0299999999999727
"5",5,2,100,1,0.01,1,"mae",2,2.8900000000001,0.007,0.002,0.011,-0.071,0.0299999999999727
"6",6,2,100,1,0.01,1,"mae",2,4.03999999999996,0.012,0.041,0.026,-0.125,0.0299999999999727
"7",7,2,100,1,0.01,1,"mae",3,3.11000000000001,0.007,-0.017,0.018,-0.099,0.0299999999999727
"8",8,2,100,1,0.01,1,"mae",2,3.28000000000009,0.015,0.04,0.024,-0.099,0.0299999999999727
"9",9,2,100,1,0.01,1,"mae",2,3.2600000000001,0.008,-0.004,0.015,-0.086,0.0400000000000773
"10",10,2,100,1,0.01,1,"mae",3,2.82999999999993,0.008,-0.049,0.013,-0.066,0.0299999999999727
"11",11,2,100,1,0.01,1,"mae",2,2.49000000000001,0.005,-0.027,0.008,-0.068,0.0399999999999636
"12",12,2,100,1,0.01,1,"mae",2,5.74000000000001,0.007,0.02,0.014,-0.086,0.0299999999999727
"13",13,2,100,1,0.01,1,"mae",2,4.44000000000005,0.016,0.014,0.025,-0.104,0.0299999999999727
"14",14,2,100,1,0.01,1,"mae",2,2.90000000000009,0.004,0.018,0.013,-0.091,0.0499999999999545
"15",15,2,100,1,0.01,1,"mae",3,2.79999999999995,0.008,-0.011,0.022,-0.099,0.0399999999999636
"16",16,2,100,1,0.01,1,"mae",2,4.50999999999999,0.01,0.013,0.023,-0.098,0.0500000000001819
"17",17,2,100,1,0.01,1,"mae",3,3.07999999999993,0.008,-0.025,0.009,-0.071,0.0299999999999727
"18",18,2,100,1,0.01,1,"mae",3,3.46000000000004,0.012,0.05,0.028,-0.122,0.0299999999999727
"19",19,2,100,1,0.01,1,"mae",2,2.96000000000004,0.009,0.021,0.024,-0.108,0.0299999999999727
