"","id","nX","N","degree","err_red","d","metric","cluster","time","mse_aces","bias_aces","mse_dea","bias_dea","time_dea"
"1",1,2,100,1,0.01,1,"mae",2,6.15999999999985,0.004,-0.039,0.013,-0.064,0.0300000000006548
"2",2,2,100,1,0.01,1,"mae",3,2.5,0.005,0.02,0.016,-0.09,0.0399999999999636
"3",3,2,100,1,0.01,1,"mae",2,2.89000000000033,0.013,0.023,0.022,-0.082,0.0299999999997453
"4",4,2,100,1,0.01,1,"mae",1,2.35000000000036,0.003,0.031,0.013,-0.081,0.0299999999997453
"5",5,2,100,1,0.01,1,"mae",2,3.18000000000029,0.013,0.061,0.021,-0.106,0.0399999999999636
"6",6,2,100,1,0.01,1,"mae",2,3.05999999999949,0.012,0.028,0.03,-0.101,0.0300000000006548
"7",7,2,100,1,0.01,2,"mae",2,2.80999999999949,0.009,0.035,0.023,-0.096,0.0300000000006548
"8",8,2,100,1,0.01,2,"mae",2,2.29000000000087,0.009,-0.012,0.008,-0.064,0.0499999999992724
"9",9,2,100,1,0.01,1,"mae",3,2.98999999999978,0.012,0.01,0.018,-0.079,0.0300000000006548
"10",10,2,100,1,0.01,1,"mae",3,1.53999999999905,0.009,-0.012,0.012,-0.071,0.0299999999988358
"11",11,2,100,1,0.01,1,"mae",3,2.27000000000044,0.004,0.027,0.008,-0.068,0.0300000000006548
"12",12,2,100,1,0.01,1,"mae",2,3.10999999999876,0.003,0.025,0.008,-0.071,0.0300000000006548
"13",13,2,100,1,0.01,1,"mae",2,2.55999999999949,0.013,0.046,0.022,-0.096,0.0400000000008731
"14",14,2,100,1,0.01,1,"mae",3,2.92999999999847,0.012,-0.037,0.023,-0.117,0.0299999999988358
"15",15,2,100,1,0.01,2,"mae",1,3.86000000000058,0.002,0.007,0.015,-0.081,0.0300000000006548
"16",16,2,100,1,0.01,1,"mae",3,2.42999999999847,0.012,-0.012,0.013,-0.074,0.0399999999990541
"17",17,2,100,1,0.01,1,"mae",1,3.1200000000008,0.004,0.033,0.011,-0.08,0.0399999999990541
"18",18,2,100,1,0.01,1,"mae",2,2.88999999999942,0.011,-0.003,0.014,-0.083,0.0300000000006548
"19",19,2,100,1,0.01,1,"mae",2,3.27000000000044,0.006,0.043,0.017,-0.09,0.0300000000006548
"20",20,2,100,1,0.01,1,"mae",1,3.91000000000167,0.004,0.029,0.016,-0.081,0.0399999999990541
"21",21,2,100,1,0.01,1,"mae",3,2.15999999999985,0.019,-0.04,0.014,-0.081,0.0499999999992724
"22",22,2,100,1,0.01,2,"mae",2,2.44000000000051,0.01,-0.014,0.01,-0.078,0.0299999999988358
"23",23,2,100,1,0.01,1,"mae",2,2.23999999999978,0.002,0.033,0.008,-0.064,0.0299999999988358
"24",24,2,100,1,0.01,1,"mae",2,3.86000000000058,0.02,0.048,0.033,-0.118,0.0300000000006548
"25",25,2,100,1,0.01,1,"mae",3,2.02999999999884,0.008,0.011,0.012,-0.082,0.0500000000010914
"26",26,2,100,1,0.01,1,"mae",2,2.82999999999993,0.002,0.013,0.007,-0.065,0.0300000000006548
"27",27,2,100,1,0.01,2,"mae",2,3.14000000000124,0.016,-0.008,0.016,-0.085,0.0300000000006548
"28",28,2,100,1,0.01,1,"mae",3,2.88999999999942,0.002,0.022,0.011,-0.078,0.0300000000006548
"29",29,2,100,1,0.01,2,"mae",2,3.07999999999811,0.002,0.016,0.008,-0.073,0.0299999999988358
"30",30,2,100,1,0.01,1,"mae",3,2.46999999999753,0.006,0.01,0.014,-0.075,0.0299999999988358
